CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
modern_shipping;Modern Shipping System;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
seabees;Construction Battalions;;;;;;;x
aeroponics;Aeroponics;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
i_aegis_defense;Aegis Ballistic Missile Defense System;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
transhumanism;Transhumanism;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
i_ascent_phase_defense;Ascent Phase Defense;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
intermodal_container;Intermodal Container;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
i_factory_robots;Factory Robots;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
cnc_machine;CNC Machine;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
internet_society;Social Distancing;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
precision_agriculture;Precision Agriculture;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
littoral_combat_doctrine;Littoral Combat Strategy;;;;;;;;x
international_supply_chains;International Supply Chains;;;;;;;;x
i_salvo_combat_model;Salvo Combat Doctrine;;;;;;;;x
i_cooperative_strategy;Cooperative Strategy;;;;;;;;x
i_seabasing;Seabasing;;;;;;;;x
national_identity;National Identity;;;;;;;;x
heave_compensation;Underwater Heave Compensation;;;;;;;x
navy_block_construction;Welded Block Shipbuilding;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
filter_bubbles;Filter Bubbles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
filter_bubbles_desc;At this point websites started to promote preconceived notions and exclude members based on ideology.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_uavs;Unmanned Aerial Vehicles;;;;;;;x
navy_combat_drones;Unmanned Aerial Vehicles;;;;;;;x
UGVs;Unmanned Ground Vehicles;;;;;;;x
i_sugar_processing;Soft Drink Bottling Plants;;;;;;;;;;;;;;
i_tea_processing;Tea Processing Plants;;;;;;;;;;;;;;
i_coffee_processing;Coffee Processing Plants;;;;;;;;;;;;;;
i_juice_processing;Juice Bottling Plants;;;;;;;;;;;;;;
kpop;K-Pop;;;;;;;;;;;;;;
cgi_invention;Computer Generated Images;;;;;;;;;;;;;;
hip_hop;Hip Hop;;;;;;;;;;;;;;
falgsc;FALGSC;;;;;;;;;;;;;;
falgsc_desc;FALGSC, or Fully Automated Luxury Gay Space Communism;;;;;;;;;;;;;;
citizen_science;Citizen Science;;;;;;;;;;;;;;
rock_n_roll;Rock and Roll;;;;;;;;;;;;;;
reggae;Reggae;;;;;;;;;;;;;;
anime;Anime;;;;;;;;;;;;;;
free_love;Free Love;;;;;;;;;;;;;;
cartoon_advertising;Cartoon Advertising;;;;;;;;;;;;;;
socialist_pragmatism;Socialist Market Economy;;;;;;;;;;;;;;
video_games;Video Games;;;;;;;;;;;;;;
dank_memes;Meme Warfare;;;;;;;;;;;;;;
unified_field_theory;Unified Field Theory;;;;;;;;;;;;;;
http_standard;HTTP Standard;;;;;;;;;;;;;;
memes;Memes;;;;;;;;;;;;;;
satellite;Satellite;;;;;;;;;;;;;;
basic_oxygen_steelmaking;Basic Oxygen Steelmaking;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
i_aegis_combat;Aegis Combat System;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
i_color_revolution;Color Revolution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
